ID1NAME,IDNAME,n_covid1,n_covid2,n_covid3,quar1,quar2,quar3,insurance_coverage,ratio_reg_nonreg,Tot_in_mig,Netmig,Inter_guns,Areaper,Circulatory,Infection_parasites,Neoplasm,Overall,Respiratory,smoke_curr_rate,drink_monthly_rate,ob_meas_rate,ob_subj_rate,mental_prev,mental_perception,db_trt_rate,hc_utility_rate,hc_inf_vacc_rate,stroke_rate,rate_cars,apt,n_students_high_per_class,Tot_pop,hh_pop_pct,For_Kor_pct,apt_price,rate_ser_workers,rate_dis_sev,rate_urbanic,rate_ret_work,rate_urb_are,rate_uni,rate_emp,log_GDP,n,group,ID,ID1,code,elderly_alone_ratio,Total,rentals,smoke_cess_1mo,social_groups,org_leisure_sports,rate_hh,rate_dep,rate_inmig,high_sch_p,For_Kor_Pop_100K,GDP_pp,ln_total,netmig2,inter_guns2,tot_in_mig2,x,y,rate_urb_area,Health_behavior,Healthcare_access,Local_economy,Migration,Morbidity,Social_distancing1,Social_distancing2,hc_unmet_rate,r_hesowo,n_Health_Social_Workers,n_workers_industry,GROUP1,n_covid,hesoc,Crowding,diff_sd,seq
Busan,Buk,3,2,3,1,2,3,0.0310607224,21.401388163,3092,-665,1010,0.3436,74.7,11.0,96.7,350.6,40.6,16.6,65.2,31.0,40.9,4.0,20.1,91.0,25.1,35.8,55.9,0.4,22.9,23.63,"291,675",38.9,0.99,92,24.1,2.1198422813,1.3519855318,3.3983029056,13519.855318,0.3318995274,0.0200281451,14.613036673,1,13,KR-26320,KR-26,11080,8.4,301296,9.6,11.1,86.2,30.5,0.037675243,0.0369098826,1.0262333386,33.276907885,9.9444950364,7.3683089055,12.583395448,-0.227993486,0.3462758207,1.0600839976,129.02145738,35.2328065,13.519855318,44.554021114,22.243841911,35.812313216,0.3832280089,101.29469127,11.615182876,19.183910043,14.2,15.9,"9,577","60,344",13,8,3.2834490443,11.061098798,13.880238007,1
Busan,Busanjin,12,1,1,1,2,3,0.0241785523,21.428203946,4733,-375,1857,0.4391,77.9,9.6,101.9,354.8,35.1,21.9,63.9,28.4,41.7,3.2,25.8,89.8,19.6,35.9,57.4,0.4,27.8,21.35,"357,723",42.7,0.83,93.3,24.1,1.7721953215,0.8293158673,7.9136650425,8293.1586731,0.7916298339,0.0446721993,15.789012527,2,13,KR-26230,KR-26,11070,8.7,378965,12.2,4.8,86.2,30.5,0.0402950141,0.033997071,1.2489280013,30.147413938,8.2924395613,18.988117636,12.787514223,-0.104829715,0.5191167468,1.3230907714,129.04649564,35.1672045,8.2931586731,43.415962087,19.503132357,36.68568593,0.3622071208,101.39053772,12.544374469,21.682981806,11.7,10.8,"18,257","169,292",13,14,5.1036695991,11.942975907,16.307940585,2
Busan,Dong,0,1,0,1,2,3,0.09190977,21.68410563,1239,198,697,0.7756,89.5,8.4,96.6,385.5,40.1,20.6,59.1,31.9,35.2,4.3,26.9,87.3,20.4,37.7,70.8,0.6,23.6,22.56,"84,557",44.8,2.66,93.7,24.1,2.3505190015,1.3710638977,14.40211928,13710.638977,0,0.0814499871,15.295373128,3,13,KR-26170,KR-26,11050,13.8,93256,13.6,2.3,86.2,30.5,0.0406300935,0.0301750021,1.3286008407,32.731406378,26.550928736,47.099832719,11.345181142,0.2341615715,0.824296037,1.4652837731,129.04534462,35.128656,13.710638977,42.550780619,20.099081459,36.645410036,1.4446272226,110.75561153,13.455945409,21.39945535,12.8,8.2,"6,250","75,957",13,1,7.3914637463,12.827683567,17.610512985,3
Busan,Dongnae,30,3,6,1,2,3,0.0368027295,22.253628814,3863,-28,1965,0.4042,75.1,8.7,104.7,347.0,31.1,18.1,64.8,27.0,40.3,1.8,19.2,88.7,20.1,35.6,66.7,0.4,22.5,25.06,"258,386",39.1,0.48,94.4,24.1,1.6250244733,0.6462260726,5.6535570813,6462.2607262,0,0.033386045,14.913459293,4,13,KR-26260,KR-26,11060,7.7,265596,11.8,8.2,86.2,30.5,0.038039353,0.0392223527,1.4544646757,30.312254359,4.7869961696,11.287858251,12.46220987,-0.0108365,0.7604901194,1.4950500414,129.07937306,35.202908,6.4622607262,42.762204931,19.827644779,36.720373902,0.2339315583,99.354223191,11.452953854,19.914099296,9.4,13.4,"11,838","88,672",13,39,4.5815175745,10.903000737,14.982998515,4
Busan,Gangseo,3,0,2,1,2,3,0.4637890813,20.340192044,2346,405,1018,4.1553,73.4,7.9,99.5,328.2,31.2,22.3,60.1,36.5,43.5,3.3,29.0,92.3,29.5,40.9,47.1,0.6,20.6,23.15,"121,351",37.4,5.67,93.3,24.1,3.3654490777,19.649972641,12.807475835,196499.72641,0,0.2351083188,16.251732351,5,13,KR-26440,KR-26,11010,5,52207,17.6,5.3,86.2,30.5,0.086984504,0.0938513992,4.4936502768,28.765146775,56.677870466,218.93184822,11.706442452,0.3337426144,0.8388888431,1.933234996,128.89619295,35.157141985,196.49972641,45.42877612,23.799731896,36.914362436,3.0007648305,94.261623774,18.789492608,19.845757161,14.6,1.9,"2,374","122,743",13,5,1.9563085595,18.199774517,15.374707851,5
Busan,Geumjeong,4,2,1,1,2,3,0.0388095379,22.255477153,3534,-270,1163,0.4785,79.4,9.5,94.6,345.2,33.6,21.3,68.5,20.0,32.9,2.6,21.8,96.2,14.5,30.9,30.5,0.4,26.9,23.79,"247,971",41.4,2.14,95.1,24.1,1.834164208,2.6285241016,5.5740388997,26285.241016,1.6278359955,0.0373950554,15.198054395,6,13,KR-26410,KR-26,11020,8.4,245725,11,4.0,86.2,30.5,0.041806084,0.0377442263,1.438193102,27.913266515,21.373083672,16.217421915,12.421067083,-0.1088837,0.4690064564,1.4251666526,129.09036322,35.258217,26.285241016,41.374251561,16.906234988,37.058412407,1.0142123335,97.736643242,12.806633846,21.571827663,5.8,9.2,"8,447","91,889",13,7,3.4064467216,12.21018354,15.673702762,6
Busan,Gijang,0,1,0,1,2,3,0.1853167087,22.558073997,4833,1617,2070,1.6358,68.0,10.8,107.3,355.0,36.1,21.0,63.1,36.4,42.1,4.5,23.6,95.5,35.7,46.2,55.4,0.5,29.7,27.91,"160,335",38.5,1.64,92.2,24.1,3.4133138573,13.818813983,5.6051392397,138188.13983,0,0.0704047,15.18381354,7,13,KR-26710,KR-26,11030,7.4,93106,9.4,6.8,86.2,30.5,0.0662986274,0.0670053487,5.190857732,29.903228466,16.367359099,42.195755376,11.985020655,1.008513425,1.2910468706,3.0143137805,129.19313849,35.2847775,138.18813983,46.498586241,27.019503978,36.105369204,1.3226246675,100.88286516,16.176814447,24.237739799,9.9,8.3,"5,412","65,551",13,1,3.3754326878,15.561482365,17.480264949,7
Busan,Haeundae,17,3,2,1,2,3,0.0238996136,22.043791722,6317,-554,2320,0.3892,71.0,7.7,105.3,332.1,28.8,22.4,60.8,31.7,41.9,3.1,21.3,89.7,20.5,34.1,55.7,0.4,20.8,24.02,"396,311",39.4,1.20,95.1,24.1,1.7197456914,1.389449498,6.5097865061,13894.49498,0.2451875808,0.0351895668,15.578360649,8,13,KR-26350,KR-26,11160,7.9,407851,11.8,6.0,86.2,30.5,0.038332136,0.0387062922,1.5488499477,28.464666675,12.043054687,14.292050283,12.889954536,-0.139789206,0.5853988408,1.5939502058,129.14289101,35.200987,13.89449498,43.586435551,19.790459201,37.198996993,0.5322581314,94.470154201,11.79543459,18.945684753,8.3,9.3,"13,393","143,521",13,22,3.3794166702,11.234546877,14.232759947,8
Busan,Jung,0,0,0,1,2,3,0.1793143663,19.915290131,608,17,316,0.694,77.6,11.6,101.4,359.1,24.2,30.2,68.1,35.7,44.1,6.1,24.8,86.0,23.0,36.8,40.7,0.8,32.4,20.76,"42,766",47.7,5.14,95.5,24.1,1.87685146,1.0445087219,32.011410934,10445.087219,0,0.1461912823,14.786580342,9,13,KR-26110,KR-26,11150,13,47260,13,8.6,86.2,30.5,0.043146424,0.024767245,1.2865002116,36.215716925,51.433348085,55.877443927,10.663498673,0.0397512042,0.7389047374,1.4216901277,129.03084586,35.1060045,10.445087219,49.330242487,19.719929198,37.07014234,2.5915430064,98.700725393,14.128705579,28.555307927,6.0,4.2,"2,910","69,090",13,0,6.8044708413,13.460505278,24.314871354,9
Busan,Nam,2,2,3,1,2,3,0.0320493583,22.588100634,3836,-720,1271,0.5574,68.6,9.3,102.4,339.0,37.7,22.3,65.4,33.9,45.4,2.7,28.1,95.3,22.9,39.5,61.3,0.4,23.4,20.84,"282,645",40.0,2.44,95.9,24.1,1.7415564539,1.503909887,3.8691644996,15039.09887,1.3726553331,0.0290539659,15.500073568,10,13,KR-26290,KR-26,11040,7.9,291406,10.3,3.5,86.2,30.5,0.0388173202,0.0373626487,1.3163764645,29.003428973,24.395282588,18.496856619,12.551946972,-0.254736507,0.4496806949,1.3571795008,129.08942746,35.1298065,15.03909887,46.626761762,21.185347608,37.432257648,1.0923958759,98.257602144,12.060084446,18.613576855,9.0,10.5,"8,870","84,665",13,7,3.138212245,11.493885404,13.440966372,10
